,result,content,sentiment
1787,positive,Metso said it has won an order worth around 40 mln eur to supply a kraftliner board machine to China 's Lee & Man Paper Co. .,positive
3053,neutral,No other ev3 devices were involved in this action .,neutral
3843,neutral,"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",neutral
1643,neutral,The order was valued at USD12 .2 m.,neutral
288,positive,The company expects its net sales in 2008 to increase 5-10 % from 2007 .,positive
782,positive,"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",positive
375,positive,"The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .",positive
4,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive
757,positive,"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",positive
66,positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,positive
4689,negative,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",negative
2186,neutral,Scanfil expects net sales in 2008 to remain at the 2007 level .,positive
4690,negative,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,negative
2632,neutral,The first group of customers to be trained will be paint-shop owners and their assistants .,neutral
1966,neutral,"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",neutral
479,neutral,"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",neutral
680,negative,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",negative
4797,negative,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative
2204,positive,The company also expects to sell its products in other Russian region .,neutral
4193,neutral,"Fortum is looking to invest in several new production units , including a new waste-fired unit at its Brista combined heat and power ( CHP ) plant and a biofuels-based production unit at Vartan CHP plant .",neutral
2106,positive,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive
3136,neutral,Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,neutral
2466,neutral,"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral
1759,positive,Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .,positive
3070,neutral,"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .",neutral
1305,neutral,Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,neutral
3424,neutral,"This will be done domestically and in neighboring markets , both organically and through acquisitions .",neutral
3465,neutral,"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",neutral
1884,neutral,`` People who enjoy mobile games are often the same customers who enjoy experimenting with new mobile services and content .,neutral
3125,neutral,"Some 3.8 mln euro ( $ 5.2 mln ) of the base acquisition price will be paid in cash and the rest through a subscription offering of a total of 850,000 new Ixonos shares .",neutral
489,positive,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,positive
4644,negative,"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative
3088,neutral,"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral
3284,neutral,The medium-term operative targets of the company remain unchanged .,neutral
2190,positive,"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .",positive
3214,neutral,"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",positive
902,positive,The company will also be compensated for acting as a reserve batch plant .,negative
1042,neutral,"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",neutral
2045,neutral,The Finnish company claims to have over a quarter of a million contented Tulikivi fireplace business and homeowners worldwide .,neutral
2600,neutral,The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral
4678,negative,"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",negative
4452,negative,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",negative
2444,neutral,"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral
1530,neutral,"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral
4377,negative,Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,negative
3294,neutral,The new location is n't the only change Wellmont has in store for its air transport service .,positive
4088,positive,Lean System supports change management and component purchasing extremely well .,positive
393,neutral,"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",neutral
4581,negative,"Operating profit for the 12-month period decreased from EUR5 .4 m while net sales increased from EUR62 .0 m , as compared to the financial year 2004 .",negative
2545,neutral,"POYRY PLC Additional information by : Heikki Malinen , President and CEO , Poyry PLC tel. +358 10 33 21307 Poyry is a global expert in consulting and engineering .",neutral
3383,neutral,"The transaction covers a building lot of 46,763 sq m and factory buildings of 19,631 sq m. Since the autumn of 2007 , when Scanfil discontinued its production operations in Oulu , the facilities have been partly leased to other parties .",neutral
3509,neutral,"After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent .",negative
60,neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,positive
1499,neutral,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral
2945,neutral,"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx .",neutral
1111,neutral,"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral
2067,positive,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .,positive
3865,neutral,"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",neutral
337,positive,"However , the proportion of the paid standing orders grew in 2009 .",positive
442,positive,Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,positive
2135,neutral,"It expects revenue between $ 8.4 billion and $ 8.7 billion , compared to analyst estimates of $ 8.67 billion .",positive
1173,neutral,Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral
3744,neutral,Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .,neutral
2394,neutral,"Ahlstrom 's 5,800 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .",neutral
2187,positive,"SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday .",positive
4172,neutral,Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .,negative
4095,positive,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive
4064,negative,Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,negative
4017,negative,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,negative
4825,negative,"have notified that as a result of the Company issuing 14,432,000 new shares in the directed offering , the joint holdings of Pequot has decreased below 1-10 to 9.63 % of total number of shares and votes in the Company .",negative
4141,neutral,"The third applicant , Fortum , was dropped .",negative
1164,neutral,"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",neutral
2847,neutral,Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral
4483,neutral,"The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .",neutral
893,positive,"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",positive
3504,neutral,"According to Finnish L+Ænnen Tehtaat 's CEO Matti Karppinen , now that L+Ænnen Tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions .",neutral
3597,neutral,"Following the issue , the number of shares in the Swedish company will grow by 9 % .",positive
1244,neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral
224,positive,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",positive
724,positive,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive
3928,neutral,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,neutral
1320,neutral,"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral
1402,neutral,The oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel Enefit-280 shale oil technology processing plant .,neutral
530,neutral,"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",neutral
4608,neutral,Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy .,neutral
2534,positive,Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .,positive
2460,neutral,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .,neutral
3257,neutral,"The fixed-term contract of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian operations , will finish by the end of the year .",neutral
3809,neutral,"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",neutral
3580,neutral,"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral
4421,negative,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative
1824,neutral,"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .",positive
673,negative,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,negative
4198,neutral,"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",neutral
3776,neutral,"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .",neutral
1023,neutral,All are welcome .,neutral
4559,negative,Ruukki Group calculates that it has lost EUR 4mn in the failed project .,negative
2049,positive,The insurer anticipates its share in Nordea 's net profit to be significant .,positive
4114,neutral,During the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts .,negative
2138,positive,It will also strengthen Ruukki 's offshore business .,positive
166,positive,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive
4660,negative,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative
3357,neutral,The serial bond is part of the plan to refinance the short-term credit facility .,neutral
2166,neutral,Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj .,positive
2370,neutral,Absolut Bank is exploring the possibility of further borrowing .,neutral
1262,neutral,It is expected to be completed by the end of 2007 .,neutral
3152,neutral,"Thanks to the development of a system that enables it to trace the origin of all the palm oil that it uses , it knows exactly where and how its palm oil has been produced .",neutral
12,positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive
3930,neutral,"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .",neutral
4199,negative,"In addition , the production at the Varpaisj+_ rvi factory will be stopped at the beginning of April 2009 .",negative
2412,neutral,"At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 .",negative
4673,negative,"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",negative
852,positive,"In addition , Lehdentekijat Oy will start producing a new membership magazine , Viisas Raha ( Wise Money ) for the Association .",neutral
1459,neutral,"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",neutral
4561,negative,"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",negative
1272,neutral,Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral
3975,neutral,Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,neutral
721,positive,"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",positive
1986,negative,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,negative
1184,positive,Atria Group is a leading Scandinavian meat products group .,neutral
4539,neutral,"A local waste management company , Turun Seudun J+Ætehuolto , has planned to set up a 150,000 tonne waste-burning facility .",neutral
4731,negative,Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,negative
4217,neutral,"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral
975,positive,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive
250,positive,Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,positive
354,neutral,"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .",positive
2612,neutral,"The company will use the money for product development and research activities through 2013 in its key markets Finland , Germany , Italy and France .",neutral
2428,neutral,"Consisting of seven interconnected units , Mega Image 's logistics center will be 347 metres in length and 12 metres in height .",neutral
3959,neutral,"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .",positive
2538,neutral,"Our in-depth expertise extends to the fields of energy , industry , urban & mobility and water & environment .",neutral
827,positive,Cash flow from operating activities is estimated to be positive .,positive
38,positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive
1482,positive,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",positive
1928,neutral,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral
940,positive,"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",neutral
1082,neutral,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral
571,neutral,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",neutral
4531,negative,Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,negative
2574,neutral,"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",neutral
4835,negative,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",negative
4735,negative,"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",negative
4154,negative,"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",negative
643,positive,Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive
2704,neutral,We offer our customers solutions based on renewable raw materials .,neutral
1017,neutral,"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral
2259,neutral,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,positive
1205,positive,"Demand seems to have hit bottom now , and some signs of improvement can be seen .",positive
1183,neutral,"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company - s shares outstanding .",neutral
2867,neutral,"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",neutral
1065,neutral,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",positive
3695,neutral,No financial or pricing details were disclosed .,neutral
4546,neutral,BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,neutral
2501,neutral,"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",neutral
2730,neutral,"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",positive
1379,neutral,The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,neutral
329,positive,EPS grew to 0.04 eur from 0.02 eur .,positive
2413,neutral,at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .,neutral
3833,neutral,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",neutral
4325,neutral,"Juhani J+Ærvi , Corporate Executive Vice President of Kesko , says the Russian food retail sector is fragmented .",negative
4007,neutral,"According shipping company Viking Line , the EU decision will have a significant financial impact .",negative
3581,neutral,EUR 152.4 mn of this was net interest income .,neutral
635,neutral,"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",neutral
2653,neutral,"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",neutral
1615,neutral,The company had hoped the new plant would be on stream by the end of 2008 .,positive
2041,neutral,The company 's net sales in 2010 totalled MEUR 311.4 with an operating margin of 13.9 per cent .,neutral
627,positive,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,positive
